period,respondent,respondent-name,fueltype,type-name,value,value-units
2025-07-11 23:00:00,FPL,Florida Power & Light Co.,SUN,Solar,1410.0,megawatthours
2025-07-11 22:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,18992.0,megawatthours
2025-07-11 22:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3706.0,megawatthours
2025-07-11 22:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 22:00:00,FPL,Florida Power & Light Co.,OTH,Other,467.0,megawatthours
2025-07-11 22:00:00,FPL,Florida Power & Light Co.,SUN,Solar,2232.0,megawatthours
2025-07-11 21:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,19051.0,megawatthours
2025-07-11 21:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3705.0,megawatthours
2025-07-11 21:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 21:00:00,FPL,Florida Power & Light Co.,OTH,Other,455.0,megawatthours
2025-07-11 21:00:00,FPL,Florida Power & Light Co.,SUN,Solar,2951.0,megawatthours
2025-07-11 20:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,18982.0,megawatthours
2025-07-11 20:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3707.0,megawatthours
2025-07-11 20:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 20:00:00,FPL,Florida Power & Light Co.,OTH,Other,467.0,megawatthours
2025-07-11 20:00:00,FPL,Florida Power & Light Co.,SUN,Solar,3483.0,megawatthours
2025-07-11 19:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,17959.0,megawatthours
2025-07-11 19:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3715.0,megawatthours
2025-07-11 19:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 19:00:00,FPL,Florida Power & Light Co.,OTH,Other,485.0,megawatthours
2025-07-11 19:00:00,FPL,Florida Power & Light Co.,SUN,Solar,4647.0,megawatthours
2025-07-11 18:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16878.0,megawatthours
2025-07-11 18:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3715.0,megawatthours
2025-07-11 18:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 18:00:00,FPL,Florida Power & Light Co.,OTH,Other,477.0,megawatthours
2025-07-11 18:00:00,FPL,Florida Power & Light Co.,SUN,Solar,5347.0,megawatthours
2025-07-11 17:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,15401.0,megawatthours
2025-07-11 17:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3714.0,megawatthours
2025-07-11 17:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 17:00:00,FPL,Florida Power & Light Co.,OTH,Other,468.0,megawatthours
2025-07-11 17:00:00,FPL,Florida Power & Light Co.,SUN,Solar,5728.0,megawatthours
2025-07-11 16:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,13969.0,megawatthours
2025-07-11 16:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3718.0,megawatthours
2025-07-11 16:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 16:00:00,FPL,Florida Power & Light Co.,OTH,Other,403.0,megawatthours
2025-07-11 16:00:00,FPL,Florida Power & Light Co.,SUN,Solar,5808.0,megawatthours
2025-07-11 15:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,12490.0,megawatthours
2025-07-11 15:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3716.0,megawatthours
2025-07-11 15:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 15:00:00,FPL,Florida Power & Light Co.,OTH,Other,263.0,megawatthours
2025-07-11 15:00:00,FPL,Florida Power & Light Co.,SUN,Solar,5383.0,megawatthours
2025-07-11 14:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11202.0,megawatthours
2025-07-11 14:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3719.0,megawatthours
2025-07-11 14:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 14:00:00,FPL,Florida Power & Light Co.,OTH,Other,190.0,megawatthours
2025-07-11 14:00:00,FPL,Florida Power & Light Co.,SUN,Solar,4790.0,megawatthours
2025-07-11 13:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11244.0,megawatthours
2025-07-11 13:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3721.0,megawatthours
2025-07-11 13:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 13:00:00,FPL,Florida Power & Light Co.,OTH,Other,126.0,megawatthours
2025-07-11 13:00:00,FPL,Florida Power & Light Co.,SUN,Solar,2827.0,megawatthours
2025-07-11 12:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11766.0,megawatthours
2025-07-11 12:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3719.0,megawatthours
2025-07-11 12:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 12:00:00,FPL,Florida Power & Light Co.,OTH,Other,122.0,megawatthours
2025-07-11 12:00:00,FPL,Florida Power & Light Co.,SUN,Solar,600.0,megawatthours
2025-07-11 11:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11754.0,megawatthours
2025-07-11 11:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3717.0,megawatthours
2025-07-11 11:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 11:00:00,FPL,Florida Power & Light Co.,OTH,Other,121.0,megawatthours
2025-07-11 11:00:00,FPL,Florida Power & Light Co.,SUN,Solar,4.0,megawatthours
2025-07-11 10:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11334.0,megawatthours
2025-07-11 10:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3714.0,megawatthours
2025-07-11 10:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 10:00:00,FPL,Florida Power & Light Co.,OTH,Other,122.0,megawatthours
2025-07-11 10:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-11 09:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11105.0,megawatthours
2025-07-11 09:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3711.0,megawatthours
2025-07-11 09:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 09:00:00,FPL,Florida Power & Light Co.,OTH,Other,117.0,megawatthours
2025-07-11 09:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-11 08:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11328.0,megawatthours
2025-07-11 08:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3711.0,megawatthours
2025-07-11 08:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 08:00:00,FPL,Florida Power & Light Co.,OTH,Other,119.0,megawatthours
2025-07-11 08:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-11 07:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11941.0,megawatthours
2025-07-11 07:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3713.0,megawatthours
2025-07-11 07:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 07:00:00,FPL,Florida Power & Light Co.,OTH,Other,119.0,megawatthours
2025-07-11 07:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-11 06:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,12811.0,megawatthours
2025-07-11 06:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3711.0,megawatthours
2025-07-11 06:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 06:00:00,FPL,Florida Power & Light Co.,OTH,Other,129.0,megawatthours
2025-07-11 06:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-11 05:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,13972.0,megawatthours
2025-07-11 05:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3710.0,megawatthours
2025-07-11 05:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 05:00:00,FPL,Florida Power & Light Co.,OTH,Other,197.0,megawatthours
2025-07-11 05:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-11 04:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,15423.0,megawatthours
2025-07-11 04:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3708.0,megawatthours
2025-07-11 04:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 04:00:00,FPL,Florida Power & Light Co.,OTH,Other,185.0,megawatthours
2025-07-11 04:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-11 03:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,17103.0,megawatthours
2025-07-11 03:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3705.0,megawatthours
2025-07-11 03:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 03:00:00,FPL,Florida Power & Light Co.,OTH,Other,333.0,megawatthours
2025-07-11 03:00:00,FPL,Florida Power & Light Co.,SUN,Solar,-1.0,megawatthours
2025-07-11 02:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,18438.0,megawatthours
2025-07-11 02:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3706.0,megawatthours
2025-07-11 02:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 02:00:00,FPL,Florida Power & Light Co.,OTH,Other,337.0,megawatthours
2025-07-11 02:00:00,FPL,Florida Power & Light Co.,SUN,Solar,2.0,megawatthours
2025-07-11 01:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,18922.0,megawatthours
2025-07-11 01:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3706.0,megawatthours
2025-07-11 01:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 01:00:00,FPL,Florida Power & Light Co.,OTH,Other,364.0,megawatthours
2025-07-11 01:00:00,FPL,Florida Power & Light Co.,SUN,Solar,65.0,megawatthours
2025-07-11 00:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,18828.0,megawatthours
2025-07-11 00:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3710.0,megawatthours
2025-07-11 00:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 00:00:00,FPL,Florida Power & Light Co.,OTH,Other,457.0,megawatthours
2025-07-11 00:00:00,FPL,Florida Power & Light Co.,SUN,Solar,879.0,megawatthours
2025-07-10 23:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,18836.0,megawatthours
2025-07-10 23:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3712.0,megawatthours
